source_id,parallax,parallax_error,phot_g_mean_mag
205857748138657024,0.0484,0.2687,19.348
205862352343916032,0.3496,0.0958,17.465
205869155571902592,0.2417,0.1246,18.071
205871084014550656,0.3411,0.0647,16.797
205871771209071744,0.2849,0.0524,15.815
205880842178335104,-0.4228,0.771,20.316
205884583098364544,0.0796,0.5229,20.067
205885579527355392,-0.0158,0.4465,19.709
205897025613504256,0.2169,0.4395,19.693
205911319266571008,0.8757,0.8769,20.199
205913513994676864,0.4409,0.2514,18.919
205916679387156096,1.0681,1.6647,20.805
205917396643550592,0.0629,0.4921,19.865
205919389508461568,0.7385,0.4696,19.721
205924753923895680,0.142,0.4763,19.876
205927605785099648,-1.5803,0.9368,20.586
205931484140046080,0.931,0.0927,17.638
205943376906801408,-0.0201,0.2049,18.811
205969490303387520,0.6119,0.7659,20.132
205987593589456256,-0.3307,0.2063,18.85
205990548532010880,0.6204,0.554,20.254
205993159867241600,0.4609,0.3077,19.279
205995260105553792,0.5445,0.4897,20.065
205997729714853504,0.2183,0.0219,14.577
206004365439973376,0.6683,0.0763,17.054
206011409187291264,1.0953,0.065,16.725
206013638274444416,0.8759,0.4678,19.601
206018792234904320,0.5357,0.2919,18.93
206022125129258240,0.5263,0.4133,19.671
206022335581587584,-0.7967,0.8057,20.315
206022537446249728,0.1754,0.3017,19.179
206025835978876160,0.717,0.0542,15.942
206027485248769152,0.2293,0.1602,18.224
206028692132863232,-0.451,0.7183,20.28
206031784511325312,1.7925,0.0191,13.885
206038720881106944,0.2343,0.0928,17.442
206050334474160128,0.4379,0.1271,17.601
206062055443422464,1.5216,0.1369,18.01
206074390586679424,-0.7366,0.7155,20.162
206075863759907456,0.3359,0.2127,18.843
206083221037011840,0.3841,0.7459,20.164
206083530279379072,0.2329,0.1091,17.676
206087550368628992,0.6132,0.3134,19.288
206107474717431296,-0.0148,0.7793,20.232
206107818314904960,-0.0915,0.4119,19.482
206108539869420416,0.278,0.4329,19.443
206109914259142784,0.5067,0.1572,18.168
206118886448013824,0.4443,1.0126,20.392
206119638063878272,0.6128,0.0484,16.345
206122970958822144,0.8188,0.1898,18.716
206135443547314432,0.347,0.4578,19.768
206145137286876928,1.1833,0.8084,20.407
206149771555050880,0.8315,0.0438,16.214
206150424390253952,0.1391,0.2773,19.091
206160049416508672,0.2737,0.0488,16.192
206169876299053056,2.6011,0.8854,20.234
206173548494884352,0.4426,0.1502,18.27
206182623760403712,-0.3361,0.8615,20.241
206198944639917952,0.4742,0.1258,17.877
206204167317683328,-1.2565,0.7588,20.406
206206675576861824,0.5328,0.524,20.114
206214887557928064,0.3048,0.1972,18.775
206233849837450624,0.2428,0.1352,18.123
206235636543892352,0.1905,0.1559,18.301
206237668064359808,0.3803,0.3186,19.387
206253404825003520,1.4825,0.0368,15.759
206268316948549760,1.1033,1.3042,20.763
206268557469649152,0.1641,0.0379,15.788
206290925658599680,-0.2736,0.2825,19.228
206307452694910592,0.4493,0.1549,18.148
206318924548048640,0.4278,0.2458,19.064
206323494394195968,0.4368,0.2241,18.946
206331710667000064,1.6565,0.9514,20.609
206333596154324480,0.4578,0.1907,18.674
206333978411779840,0.1778,0.0669,16.903
206335833837706880,0.3038,0.0221,14.636
206336448012702976,0.2216,0.1071,17.863
206341017860973440,0.1207,0.1814,18.551
206344453834895104,0.9467,0.4772,19.675
206344629926461952,0.8218,0.5762,19.991
206364008824250752,3.1675,0.5321,19.852
206366925102695936,-0.2225,0.3435,19.488
206369021045430784,0.3311,0.2005,18.781
206370601593390208,0.402,0.159,18.395
206370945196497408,0.9937,0.1162,17.941
206380089180082688,0.127,0.2001,18.308
206390087864301440,0.3408,0.0339,15.676
206391599691002752,-0.6718,1.122,20.609
206391634052493184,0.4149,0.1136,17.816
206402212552486912,0.3032,0.3021,18.966
206404274136964864,0.6014,0.3768,19.302
206411420965352704,2.0204,0.0575,16.455
206429391106072576,0.6768,0.1047,17.861
206431869301383296,1.646,1.1821,20.45
206432590858042880,0.8083,0.7712,20.292
206449736365185920,-0.3962,0.5267,20.034
206459387159264768,0.2612,0.3872,19.444
206462170295186944,0.2096,0.238,19.063
206471211207297920,0.4059,0.1155,17.694
206488077539636224,-0.3106,0.3048,19.263
206491101196692480,0.8492,0.3281,19.478
206503578080467968,0.5397,0.3328,19.598
206503956037594240,0.4918,0.176,18.615
206519005602824448,0.8483,0.0252,14.959
206521651302718848,0.3996,0.1156,17.913
206522750812566912,1.3278,0.5847,20.214
206536146813798400,0.2784,0.4293,19.614
206547386746971904,0.2349,0.0211,14.463
206562981770653440,0.1689,0.1918,18.773
206564390519818240,0.2618,0.0638,16.792
206565455671773696,0.3447,0.4415,19.817
206590675719949440,1.2475,0.6135,20.207
206598617115937536,0.6274,0.1871,18.573
206606966532111744,0.4495,0.0248,15.049
206616415461476352,0.2776,0.0588,16.51
206621152807176704,0.1111,0.1344,18.114
206630021916517504,-0.3496,0.4708,19.896
206632903838121728,0.2326,0.2901,19.182
206651355017843584,0.6708,0.3705,19.448
206660773878520576,0.3339,0.2934,19.032
206663763177855232,-5.9533,1.6711,20.647
206686023991610112,-0.7171,0.7079,20.186
206709319894234496,0.3308,0.2541,18.851
206716432360467456,0.5196,0.2941,19.238
206735742538542080,0.1832,0.2833,19.208
206741308816182528,0.9468,0.4444,19.945
206763062821998208,-0.3843,1.0989,20.686
206768693523485952,0.7179,0.1886,18.747
